bucket	over_10s	between_5_10s	total
2026-05-18T22:15:00Z	0	1	21
2026-05-18T22:20:00Z	0	0	52
2026-05-18T22:25:00Z	0	0	24
2026-05-18T22:30:00Z	0	0	33
2026-05-18T22:35:00Z	0	0	35
2026-05-18T22:40:00Z	0	0	20
2026-05-18T22:45:00Z	0	0	37
2026-05-18T22:50:00Z	0	0	38
2026-05-18T22:55:00Z	0	0	30
2026-05-18T23:00:00Z	0	0	38
2026-05-18T23:05:00Z	0	0	34
2026-05-18T23:10:00Z	0	0	18
2026-05-18T23:15:00Z	0	2	28
2026-05-18T23:20:00Z	0	1	35
2026-05-18T23:25:00Z	0	0	24
2026-05-18T23:30:00Z	1	1	35
2026-05-18T23:35:00Z	0	2	46
2026-05-18T23:40:00Z	0	0	46
2026-05-18T23:45:00Z	0	1	34
2026-05-18T23:50:00Z	0	0	25
2026-05-18T23:55:00Z	0	0	34
2026-05-19T00:00:00Z	0	0	46
2026-05-19T00:05:00Z	0	0	28
2026-05-19T00:10:00Z	0	1	35
2026-05-19T00:15:00Z	0	0	19
2026-05-19T00:20:00Z	0	0	30
2026-05-19T00:25:00Z	0	0	24
2026-05-19T00:30:00Z	0	0	45
2026-05-19T00:35:00Z	0	1	32
2026-05-19T00:40:00Z	0	0	32
2026-05-19T00:45:00Z	0	0	28
2026-05-19T00:50:00Z	0	0	32
2026-05-19T00:55:00Z	0	3	33
2026-05-19T01:00:00Z	0	1	23
2026-05-19T01:05:00Z	0	0	23
2026-05-19T01:10:00Z	0	1	35
2026-05-19T01:15:00Z	0	0	29
2026-05-19T01:20:00Z	0	0	30
2026-05-19T01:25:00Z	0	0	26
2026-05-19T01:30:00Z	0	1	29
2026-05-19T01:35:00Z	0	0	33
2026-05-19T01:40:00Z	0	0	24
2026-05-19T01:45:00Z	0	0	29
2026-05-19T01:50:00Z	0	0	56
2026-05-19T01:55:00Z	0	0	36
2026-05-19T02:00:00Z	1	2	19
2026-05-19T02:05:00Z	2	2	32
2026-05-19T02:10:00Z	0	0	33
2026-05-19T02:15:00Z	0	0	16
2026-05-19T02:20:00Z	0	1	15
2026-05-19T02:25:00Z	0	0	26
2026-05-19T02:30:00Z	0	0	25
2026-05-19T02:35:00Z	0	0	44
2026-05-19T02:40:00Z	0	0	27
2026-05-19T02:45:00Z	0	0	16
2026-05-19T02:50:00Z	0	0	34
2026-05-19T02:55:00Z	0	1	27
2026-05-19T03:00:00Z	0	0	26
2026-05-19T03:05:00Z	0	0	17
2026-05-19T03:10:00Z	0	0	31
2026-05-19T03:15:00Z	0	0	30
2026-05-19T03:20:00Z	0	0	22
2026-05-19T03:25:00Z	0	0	32
2026-05-19T03:30:00Z	0	0	25
2026-05-19T03:35:00Z	0	0	25
2026-05-19T03:40:00Z	0	0	26
2026-05-19T03:45:00Z	0	2	17
2026-05-19T03:50:00Z	0	1	21
2026-05-19T03:55:00Z	0	1	16
2026-05-19T04:00:00Z	1	2	26
2026-05-19T04:05:00Z	0	2	29
2026-05-19T04:10:00Z	2	1	19
2026-05-19T04:15:00Z	0	0	17
2026-05-19T04:20:00Z	0	0	26
2026-05-19T04:25:00Z	0	0	21
2026-05-19T04:30:00Z	0	0	29
2026-05-19T04:35:00Z	0	0	30
2026-05-19T04:40:00Z	0	0	29
2026-05-19T04:45:00Z	0	0	20
2026-05-19T04:50:00Z	0	0	14
2026-05-19T04:55:00Z	0	0	30
2026-05-19T05:00:00Z	0	1	35
2026-05-19T05:05:00Z	0	0	24
2026-05-19T05:10:00Z	0	0	31
2026-05-19T05:15:00Z	0	0	35
2026-05-19T05:20:00Z	0	1	30
2026-05-19T05:25:00Z	0	0	14
2026-05-19T05:30:00Z	0	0	35
2026-05-19T05:35:00Z	0	1	29
2026-05-19T05:40:00Z	0	0	29
2026-05-19T05:45:00Z	0	0	19
2026-05-19T05:50:00Z	0	2	23
2026-05-19T05:55:00Z	0	0	29
2026-05-19T06:00:00Z	0	0	27
2026-05-19T06:05:00Z	0	0	37
2026-05-19T06:10:00Z	0	0	19
2026-05-19T06:15:00Z	0	0	12
