feature	trigger	access_method	bucket	cnt	p95_ms
query			2026-05-18T20:30:00Z	39	4805.0
query			2026-05-18T21:00:00Z	189	2251.0
cache_warmup	warmingV2		2026-05-18T21:00:00Z	1	1397.0
query			2026-05-18T21:30:00Z	146	1367.0
insight		sharing_token	2026-05-18T21:30:00Z	2	1363.0
query			2026-05-18T22:00:00Z	201	2327.0
cache_warmup	warmingV2		2026-05-18T22:00:00Z	1	2239.0
query			2026-05-18T22:30:00Z	193	1596.0
query			2026-05-18T23:00:00Z	177	2850.0
query			2026-05-18T23:30:00Z	216	2366.0
insight		sharing_token	2026-05-18T23:30:00Z	2	1097.0
management_command			2026-05-18T23:30:00Z	1	868.0
insight	chaining	sharing_token	2026-05-18T23:30:00Z	1	1058.0
query			2026-05-19T00:00:00Z	175	1629.0
query		personal_api_key	2026-05-19T00:00:00Z	7	7334.0
query			2026-05-19T00:30:00Z	202	3432.0
query			2026-05-19T01:00:00Z	164	3314.0
insight			2026-05-19T01:00:00Z	2	2124.0
query			2026-05-19T01:30:00Z	207	2299.0
query			2026-05-19T02:00:00Z	141	5485.0
query			2026-05-19T02:30:00Z	173	2264.0
query			2026-05-19T03:00:00Z	158	1683.0
query			2026-05-19T03:30:00Z	130	4136.0
query			2026-05-19T04:00:00Z	135	5490.0
cache_warmup	warmingV2		2026-05-19T04:00:00Z	3	1462.0
query			2026-05-19T04:30:00Z	152	2110.0
query			2026-05-19T05:00:00Z	168	2365.0
cache_warmup	warmingV2		2026-05-19T05:00:00Z	1	2734.0
query			2026-05-19T05:30:00Z	164	1903.0
query			2026-05-19T06:00:00Z	173	1530.0
query			2026-05-19T06:30:00Z	128	1496.0
insight		sharing_token	2026-05-19T06:30:00Z	2	2482.0
insight	chaining	sharing_token	2026-05-19T06:30:00Z	1	1215.0
