bucket	query_type	over_5s	total	p95_ms	max_ms
2026-05-19T05:45:00Z	stats_table_main_query	0	63	1071.0	1504
2026-05-19T05:45:00Z	stats_table_path_bounce_query	0	26	1832.0	2060
2026-05-19T05:45:00Z	web_goals_query	0	11	1696.0	2096
2026-05-19T05:45:00Z	web_overview_query	0	26	1008.0	1153
2026-05-19T06:00:00Z	stats_table_entry_bounce_query	0	17	722.0	732
2026-05-19T06:00:00Z	stats_table_main_query	0	235	897.0	4122
2026-05-19T06:00:00Z	stats_table_path_bounce_query	0	83	1345.0	2145
2026-05-19T06:00:00Z	web_goals_query	0	19	1585.0	1860
2026-05-19T06:00:00Z	web_overview_query	0	101	714.0	1079
2026-05-19T06:15:00Z	stats_table_entry_bounce_query	0	12	862.0	985
2026-05-19T06:15:00Z	stats_table_main_query	0	260	939.0	1689
2026-05-19T06:15:00Z	stats_table_path_bounce_query	0	90	1650.0	3099
2026-05-19T06:15:00Z	web_goals_query	0	17	2046.0	2292
2026-05-19T06:15:00Z	web_overview_query	0	99	967.0	1854
2026-05-19T06:30:00Z	stats_table_entry_bounce_query	0	14	1066.0	1072
2026-05-19T06:30:00Z	stats_table_main_query	0	263	780.0	1836
2026-05-19T06:30:00Z	stats_table_path_bounce_query	0	80	1358.0	1750
2026-05-19T06:30:00Z	web_goals_query	0	15	816.0	818
2026-05-19T06:30:00Z	web_overview_query	0	106	982.0	2507
2026-05-19T06:45:00Z	stats_table_entry_bounce_query	0	40	843.0	2329
2026-05-19T06:45:00Z	stats_table_main_query	0	355	920.0	3054
2026-05-19T06:45:00Z	stats_table_path_bounce_query	0	108	2356.0	4451
2026-05-19T06:45:00Z	web_goals_query	0	34	2478.0	2864
2026-05-19T06:45:00Z	web_overview_query	0	146	866.0	2468
2026-05-19T07:00:00Z	stats_table_entry_bounce_query	0	15	1248.0	1737
2026-05-19T07:00:00Z	stats_table_main_query	0	283	1127.0	1734
2026-05-19T07:00:00Z	stats_table_path_bounce_query	0	67	1395.0	2777
2026-05-19T07:00:00Z	web_goals_query	0	12	981.0	1061
2026-05-19T07:00:00Z	web_overview_query	0	149	1012.0	1477
2026-05-19T07:15:00Z	stats_table_entry_bounce_query	0	9	1411.0	1529
2026-05-19T07:15:00Z	stats_table_main_query	0	259	1344.0	2094
2026-05-19T07:15:00Z	stats_table_path_bounce_query	0	80	2301.0	4594
2026-05-19T07:15:00Z	web_goals_query	0	14	2068.0	2316
2026-05-19T07:15:00Z	web_overview_query	0	94	907.0	1824
2026-05-19T07:30:00Z	stats_table_entry_bounce_query	0	8	2135.0	2620
2026-05-19T07:30:00Z	stats_table_main_query	1	282	1469.0	5909
2026-05-19T07:30:00Z	stats_table_path_bounce_query	0	75	1917.0	3355
2026-05-19T07:30:00Z	web_goals_query	0	6	971.0	1075
2026-05-19T07:30:00Z	web_overview_query	0	91	1150.0	2843
2026-05-19T07:45:00Z	stats_table_entry_bounce_query	0	2	1064.0	1097
2026-05-19T07:45:00Z	stats_table_main_query	0	188	796.0	1812
2026-05-19T07:45:00Z	stats_table_path_bounce_query	0	59	1598.0	3978
2026-05-19T07:45:00Z	web_goals_query	0	12	710.0	774
2026-05-19T07:45:00Z	web_overview_query	0	72	852.0	2083
