team_id	access_method	query_duration_ms	read_rows	memory_mb	event_time
10085		10836	245926384	4784.0	2026-05-19T08:57:13Z
10085		11053	245875137	5057.0	2026-05-19T08:57:12Z
10085		20067	245963371	5056.0	2026-05-19T08:57:00Z
10085		7599	245899792	4763.0	2026-05-19T08:56:10Z
10085		8508	245791276	5081.0	2026-05-19T08:56:00Z
119598		6379	66316060	1462.0	2026-05-19T08:41:29Z
430628		7601	202823	722.0	2026-05-19T08:24:43Z
210253		5909	19116557	728.0	2026-05-19T07:36:46Z
364067		5155	1231311	722.0	2026-05-19T05:36:59Z
364067		5161	1233310	730.0	2026-05-19T05:36:59Z
412542		6040	745318	714.0	2026-05-19T05:01:42Z
412542		5833	729331	736.0	2026-05-19T05:01:40Z
210501		5070	1527165	726.0	2026-05-19T05:01:38Z
