query_type	query_duration_ms	read_rows	event_time
web_overview_query	461	6871964	2026-05-19T13:06:09Z
web_overview_query	557	6863690	2026-05-19T13:06:07Z
web_overview_query	529	7072597	2026-05-19T13:05:44Z
web_overview_query	992	6953788	2026-05-19T13:05:38Z
web_overview_query	503	7004654	2026-05-19T13:05:25Z
web_overview_query	484	6894306	2026-05-19T13:05:21Z
web_overview_query	445	6867081	2026-05-19T13:05:20Z
web_overview_query	520	7074896	2026-05-19T13:05:14Z
web_overview_query	690	6971421	2026-05-19T13:05:04Z
web_overview_query	569	6947738	2026-05-19T13:04:48Z
web_overview_query	638	7078235	2026-05-19T13:04:46Z
web_overview_query	648	6911977	2026-05-19T13:04:35Z
web_overview_query	723	7046070	2026-05-19T13:04:25Z
web_overview_query	2048	7087912	2026-05-19T13:04:20Z
web_overview_query	419	7039420	2026-05-19T13:04:15Z
web_overview_query	1119	7028403	2026-05-19T13:04:12Z
web_overview_query	924	6910940	2026-05-19T13:04:09Z
web_overview_query	924	7008729	2026-05-19T13:04:09Z
web_overview_query	991	6970801	2026-05-19T13:04:09Z
web_overview_query	3543	6962726	2026-05-19T13:04:05Z
web_overview_query	1109	6974162	2026-05-19T13:04:00Z
web_overview_query	919	6950926	2026-05-19T13:03:59Z
web_overview_query	556	6930246	2026-05-19T13:03:58Z
web_overview_query	538	7066839	2026-05-19T13:03:55Z
web_overview_query	840	6893620	2026-05-19T13:03:52Z
web_overview_query	1018	6961436	2026-05-19T13:03:43Z
web_overview_query	1249	6929482	2026-05-19T13:03:43Z
web_overview_query	486	6998858	2026-05-19T13:03:41Z
web_overview_query	544	7023712	2026-05-19T13:03:38Z
web_overview_query	607	7054801	2026-05-19T13:03:28Z
