bucket	cnt	p95_ms	p99_ms	max_ms
2026-05-19T10:15:00Z	5	2296.0	2488.0	2536
2026-05-19T10:30:00Z	15	1876.0	1948.0	1966
2026-05-19T10:45:00Z	5	2656.0	2932.0	3001
2026-05-19T11:00:00Z	7	2151.0	2473.0	2554
2026-05-19T11:15:00Z	5	808.0	838.0	845
2026-05-19T11:30:00Z	16	867.0	869.0	869
2026-05-19T11:45:00Z	9	4679.0	5919.0	6229
2026-05-19T12:00:00Z	20	2211.0	2280.0	2297
2026-05-19T12:15:00Z	18	1448.0	1527.0	1547
2026-05-19T12:30:00Z	26	1124.0	2196.0	2551
2026-05-19T12:45:00Z	32	2424.0	4865.0	5926
2026-05-19T13:00:00Z	14	1243.0	2071.0	2278
2026-05-19T13:15:00Z	19	2406.0	2431.0	2437
2026-05-19T13:30:00Z	9	5029.0	5934.0	6160
2026-05-19T13:45:00Z	9	1642.0	1949.0	2026
2026-05-19T14:00:00Z	15	1706.0	2180.0	2298
2026-05-19T14:15:00Z	6	1194.0	1224.0	1231
