query_type	cnt	avg_ms	p50_ms	p95_ms	p99_ms	max_ms	total_memory_gb	total_read_rows_billion
stats_table_main_query	21191	675.0	538.0	1329.0	2811.0	32439	15123.5	54.9
stats_table_query	17902	790.0	589.0	1643.0	3490.0	44174	15161.0	59.4
web_overview_query	11914	659.0	497.0	1323.0	2843.0	33542	8545.0	33.4
stats_table_frustration_metrics_query	6578	623.0	494.0	1233.0	2584.0	12783	4691.0	16.3
stats_table_path_bounce_query	6498	1235.0	957.0	2532.0	5224.0	28770	9320.4	31.7
web_vitals_path_breakdown_query	1754	306.0	225.0	726.0	1378.0	4312	16.0	1.8
web_goals_query	1519	1017.0	674.0	2423.0	5961.0	54960	1198.8	12.0
stats_table_entry_bounce_query	772	691.0	521.0	1615.0	2766.0	7467	550.8	2.5
external_clicks_query	290	871.0	636.0	1704.0	6459.0	10654	202.4	0.6
stats_table_path_bounce_and_avg_time_query	5	3400.0	3309.0	4076.0	4142.0	4159	9.0	0.1
web_overview_preaggregated_query	1	263.0	263.0	263.0	263.0	263	0.2	0.0
