hour	cnt	over_5s	over_10s	p95_ms	p99_ms
2026-05-18T14:00:00Z	525	0	0	1128.0	1491.0
2026-05-18T15:00:00Z	4078	20	2	1652.0	3769.0
2026-05-18T16:00:00Z	3683	0	0	1434.0	2285.0
2026-05-18T17:00:00Z	3914	8	1	1636.0	2847.0
2026-05-18T18:00:00Z	4424	44	17	1998.0	4906.0
2026-05-18T19:00:00Z	3552	5	1	1620.0	2803.0
2026-05-18T20:00:00Z	2808	9	0	1657.0	3073.0
2026-05-18T21:00:00Z	2289	7	3	1258.0	3211.0
2026-05-18T22:00:00Z	2832	3	0	1175.0	1905.0
2026-05-18T23:00:00Z	2573	20	2	1609.0	4061.0
2026-05-19T00:00:00Z	2541	21	3	1720.0	4223.0
2026-05-19T01:00:00Z	2510	8	2	1655.0	3442.0
2026-05-19T02:00:00Z	2309	33	6	2306.0	6137.0
2026-05-19T03:00:00Z	2048	9	0	1631.0	3857.0
2026-05-19T04:00:00Z	1899	29	5	2193.0	6200.0
2026-05-19T05:00:00Z	2111	12	0	1424.0	3082.0
2026-05-19T06:00:00Z	2516	0	0	1209.0	2354.0
2026-05-19T07:00:00Z	2197	1	0	1335.0	2111.0
2026-05-19T08:00:00Z	1968	16	4	1695.0	4579.0
2026-05-19T09:00:00Z	2071	21	10	1654.0	5040.0
2026-05-19T10:00:00Z	2416	4	1	1658.0	3066.0
2026-05-19T11:00:00Z	2153	2	1	1334.0	2094.0
2026-05-19T12:00:00Z	3613	12	4	1539.0	2678.0
2026-05-19T13:00:00Z	4030	7	0	1328.0	2320.0
2026-05-19T14:00:00Z	3340	9	0	2006.0	3492.0
