team_id	access_method	cnt	over_5s	avg_ms	p95_ms	max_ms	total_memory_gb
219890		2611	9	669.0	1182.0	14319	2134.8
412542		845	4	633.0	941.0	6107	719.7
360230		777	1	905.0	1621.0	6966	631.7
358951		668	2	664.0	1160.0	6189	538.5
319398		585	3	664.0	986.0	18577	472.2
423176		537	1	545.0	1235.0	10150	394.3
361786		414	0	874.0	1655.0	3874	354.3
135962		467	0	550.0	863.0	2561	329.3
198097		393	0	626.0	1109.0	2393	324.6
385376		462	0	573.0	1016.0	4190	317.1
65971		359	0	625.0	1100.0	2982	304.6
417906		325	2	686.0	1169.0	6381	276.2
429644		316	0	520.0	875.0	1994	243.3
115294		287	2	648.0	1052.0	9815	233.3
318688		312	0	570.0	1071.0	3081	233.2
96325		263	1	645.0	1143.0	5535	223.2
426626		282	2	585.0	928.0	6199	215.5
428944		271	0	596.0	1174.0	4877	211.0
425159		290	1	667.0	1634.0	6776	207.9
308761		250	0	670.0	1282.0	3476	206.7
