query_type	query_duration_ms	read_rows	memory_mb	event_time
web_overview_query	1406	11581392	723.0	2026-05-19T14:47:03Z
web_goals_query	2294	1487358	874.0	2026-05-19T14:45:29Z
stats_table_frustration_metrics_query	2452	7518811	715.0	2026-05-19T14:44:59Z
web_vitals_path_breakdown_query	3263	6562758	7.0	2026-05-19T14:44:58Z
web_vitals_path_breakdown_query	3133	6556842	9.0	2026-05-19T14:44:56Z
web_goals_query	6113	11744355	1634.0	2026-05-19T14:44:54Z
stats_table_path_bounce_query	4679	23203611	1414.0	2026-05-19T14:44:48Z
stats_table_main_query	1251	11644897	701.0	2026-05-19T14:44:45Z
stats_table_main_query	1047	11638060	716.0	2026-05-19T14:44:44Z
web_overview_query	1238	11517351	717.0	2026-05-19T14:44:42Z
stats_table_main_query	2174	11597005	710.0	2026-05-19T14:44:42Z
stats_table_main_query	1306	11511421	720.0	2026-05-19T14:44:40Z
stats_table_main_query	1063	11577258	721.0	2026-05-19T14:44:40Z
stats_table_main_query	2183	11602862	725.0	2026-05-19T14:44:39Z
stats_table_main_query	1285	11558575	711.0	2026-05-19T14:44:38Z
stats_table_main_query	1821	11626345	705.0	2026-05-19T14:44:37Z
stats_table_main_query	1304	11675307	715.0	2026-05-19T14:44:35Z
stats_table_main_query	1042	11692717	715.0	2026-05-19T14:44:35Z
stats_table_main_query	1104	11716003	727.0	2026-05-19T14:44:34Z
stats_table_main_query	1687	11613334	715.0	2026-05-19T14:44:33Z
