query_type	cnt	avg_ms	p95_ms	p99_ms	max_ms	first_seen	last_seen
stats_table_main_query	10654	757.2	1604.4	2997.2	11888	2026-05-19T12:48:21Z	2026-05-19T18:47:46Z
web_overview_query	4284	729.3	1572.2	2840.2	8115	2026-05-19T12:48:23Z	2026-05-19T18:48:18Z
stats_table_frustration_metrics_query	3235	709.3	1515.9	2655.0	7427	2026-05-19T12:48:21Z	2026-05-19T18:47:58Z
stats_table_path_bounce_query	3207	1412.6	2977.0	5851.5	13427	2026-05-19T12:48:23Z	2026-05-19T18:48:19Z
web_vitals_path_breakdown_query	578	344.8	801.0	1283.5	4493	2026-05-19T12:49:15Z	2026-05-19T18:47:26Z
web_goals_query	508	1071.4	2668.2	6117.6	9804	2026-05-19T12:48:24Z	2026-05-19T18:48:00Z
stats_table_entry_bounce_query	399	790.0	1776.9	3236.7	3607	2026-05-19T12:49:45Z	2026-05-19T18:44:16Z
external_clicks_query	370	1070.1	1844.1	5975.0	42828	2026-05-19T12:49:34Z	2026-05-19T18:47:20Z
stats_table_preaggregated_query	6	189.3	255.8	256.8	257	2026-05-19T17:18:36Z	2026-05-19T17:19:07Z
web_overview_preaggregated_query	3	180.0	276.3	288.1	291	2026-05-19T17:18:36Z	2026-05-19T17:19:07Z
stats_table_preaggregated_path_breakdown_query	3	304.7	410.5	420.5	423	2026-05-19T17:18:36Z	2026-05-19T17:19:07Z
stats_table_path_bounce_and_avg_time_query	1	3006.0	3006.0	3006.0	3006	2026-05-19T14:07:21Z	2026-05-19T14:07:21Z
