team_id	query_type	query_duration_ms	read_rows	event_time
401433	stats_table_path_bounce_query	10174	4983034	2026-05-19T18:46:13Z
430628	stats_table_path_bounce_query	10009	919484	2026-05-19T18:43:52Z
426985	stats_table_path_bounce_query	8723	1453338	2026-05-19T18:43:04Z
41675	stats_table_path_bounce_query	8460	13400160	2026-05-19T18:43:19Z
41675	stats_table_main_query	8040	6509958	2026-05-19T18:43:22Z
79652	stats_table_path_bounce_query	7214	4047140	2026-05-19T18:43:47Z
41675	web_goals_query	7089	35177276	2026-05-19T18:42:00Z
400630	web_overview_query	6181	1213055	2026-05-19T18:43:19Z
79652	stats_table_main_query	5904	2020640	2026-05-19T18:43:46Z
260207	stats_table_path_bounce_query	5333	36734988	2026-05-19T18:41:32Z
243839	stats_table_path_bounce_query	5252	2567858	2026-05-19T18:32:06Z
106029	stats_table_path_bounce_query	5252	47704464	2026-05-19T18:23:04Z
162742	stats_table_path_bounce_query	5228	42495532	2026-05-19T18:24:36Z
297048	stats_table_path_bounce_query	5219	3075581	2026-05-19T18:32:05Z
363412	stats_table_path_bounce_query	5069	6502397	2026-05-19T18:46:07Z
