iter	Logloss
0	0.6409174928
1	0.5918828344
2	0.5508094886
3	0.5095731141
4	0.4734374367
5	0.4417803495
6	0.406179495
7	0.3837984499
8	0.3627121231
9	0.3453969381
10	0.3289840632
11	0.3166011468
12	0.3036325276
13	0.2933532114
14	0.2830943331
15	0.2746099934
16	0.2678410864
17	0.2605339904
18	0.2540653985
19	0.2483325159
20	0.2432459133
21	0.2387277192
22	0.2347100568
23	0.2311336963
24	0.2250844318
25	0.2184381796
26	0.212437982
27	0.2070071528
28	0.2056322972
29	0.204057746
30	0.2026454291
31	0.2010464125
32	0.199883772
33	0.1988388032
34	0.1980689968
35	0.1971987484
36	0.1951031097
37	0.191686443
38	0.1910965891
39	0.190564375
40	0.1900839281
41	0.187617119
42	0.1872407331
43	0.1860861407
44	0.1857824358
45	0.185507606
46	0.1848411936
47	0.1827336202
48	0.1807186524
49	0.1790190667
50	0.1771672315
51	0.1768399063
