iter	Passed	Remaining
0	0	875
1	2	1124
2	2	915
3	3	797
4	3	723
5	4	666
6	4	628
7	4	594
8	5	560
9	5	535
10	5	508
11	5	489
12	6	474
13	6	473
14	7	470
15	8	495
16	8	485
17	8	471
18	8	458
19	9	449
20	9	441
21	9	440
22	10	464
23	11	455
24	11	453
25	11	444
26	12	440
27	12	435
28	13	453
29	13	447
30	14	440
31	14	437
32	14	432
33	15	431
34	15	429
35	15	424
36	16	425
37	16	421
38	16	414
39	17	427
40	18	426
41	18	422
42	18	417
43	19	414
44	19	410
45	19	406
46	20	407
47	21	430
48	22	431
49	22	436
50	23	435
51	23	432
