distinct_id,event,country,plan,properties
user_0027,upgraded_plan,AU,scale,"{""session_index"": 0, ""is_demo"": true}"
user_0735,created_project,AU,free,"{""session_index"": 1, ""is_demo"": true}"
user_0459,created_project,AU,free,"{""session_index"": 2, ""is_demo"": true}"
user_0703,signed_up,IN,enterprise,"{""session_index"": 3, ""is_demo"": true}"
user_0219,$pageview,IN,scale,"{""session_index"": 4, ""is_demo"": true}"
user_0559,$pageview,AU,scale,"{""session_index"": 5, ""is_demo"": true}"
user_0491,$pageview,AU,free,"{""session_index"": 6, ""is_demo"": true}"
user_0447,signed_up,IN,free,"{""session_index"": 7, ""is_demo"": true}"
user_0219,created_project,AU,enterprise,"{""session_index"": 8, ""is_demo"": true}"
user_0015,$pageview,AU,enterprise,"{""session_index"": 9, ""is_demo"": true}"
user_0459,invited_teammate,GB,free,"{""session_index"": 10, ""is_demo"": true}"
user_0743,created_project,AU,enterprise,"{""session_index"": 11, ""is_demo"": true}"
user_0107,$pageview,IN,scale,"{""session_index"": 12, ""is_demo"": true}"
user_0703,upgraded_plan,AU,free,"{""session_index"": 13, ""is_demo"": true}"
user_0043,upgraded_plan,AU,free,"{""session_index"": 14, ""is_demo"": true}"
user_0751,$pageview,IN,free,"{""session_index"": 15, ""is_demo"": true}"
user_0651,upgraded_plan,IN,enterprise,"{""session_index"": 16, ""is_demo"": true}"
user_0191,created_project,GB,free,"{""session_index"": 17, ""is_demo"": true}"
user_0939,signed_up,IN,scale,"{""session_index"": 18, ""is_demo"": true}"
user_0759,invited_teammate,GB,free,"{""session_index"": 19, ""is_demo"": true}"
user_0555,upgraded_plan,IN,scale,"{""session_index"": 20, ""is_demo"": true}"
user_0559,invited_teammate,GB,free,"{""session_index"": 21, ""is_demo"": true}"
user_0995,$pageview,GB,scale,"{""session_index"": 22, ""is_demo"": true}"
user_0839,signed_up,AU,free,"{""session_index"": 23, ""is_demo"": true}"
user_0651,invited_teammate,IN,enterprise,"{""session_index"": 24, ""is_demo"": true}"
user_0127,created_project,GB,free,"{""session_index"": 25, ""is_demo"": true}"
user_0811,invited_teammate,IN,scale,"{""session_index"": 26, ""is_demo"": true}"
user_0335,created_project,GB,enterprise,"{""session_index"": 27, ""is_demo"": true}"
user_0443,created_project,GB,free,"{""session_index"": 28, ""is_demo"": true}"
user_0223,invited_teammate,GB,enterprise,"{""session_index"": 29, ""is_demo"": true}"
user_0931,created_project,GB,enterprise,"{""session_index"": 30, ""is_demo"": true}"
user_0759,upgraded_plan,AU,enterprise,"{""session_index"": 31, ""is_demo"": true}"
user_0651,signed_up,IN,enterprise,"{""session_index"": 32, ""is_demo"": true}"
user_0207,upgraded_plan,IN,scale,"{""session_index"": 33, ""is_demo"": true}"
user_0387,$pageview,IN,free,"{""session_index"": 34, ""is_demo"": true}"
user_0631,$pageview,IN,free,"{""session_index"": 35, ""is_demo"": true}"
user_0403,signed_up,GB,enterprise,"{""session_index"": 36, ""is_demo"": true}"
user_0071,$pageview,AU,scale,"{""session_index"": 37, ""is_demo"": true}"
user_0891,invited_teammate,AU,free,"{""session_index"": 38, ""is_demo"": true}"
user_0079,created_project,AU,enterprise,"{""session_index"": 39, ""is_demo"": true}"
user_0779,created_project,AU,free,"{""session_index"": 40, ""is_demo"": true}"
user_0687,$pageview,GB,free,"{""session_index"": 41, ""is_demo"": true}"
user_0027,$pageview,GB,enterprise,"{""session_index"": 42, ""is_demo"": true}"
user_0327,invited_teammate,AU,free,"{""session_index"": 43, ""is_demo"": true}"
user_0059,signed_up,IN,enterprise,"{""session_index"": 44, ""is_demo"": true}"
user_0943,created_project,GB,free,"{""session_index"": 45, ""is_demo"": true}"
user_0203,invited_teammate,GB,enterprise,"{""session_index"": 46, ""is_demo"": true}"
user_0943,signed_up,GB,free,"{""session_index"": 47, ""is_demo"": true}"
user_0563,upgraded_plan,GB,enterprise,"{""session_index"": 48, ""is_demo"": true}"
user_0047,created_project,IN,enterprise,"{""session_index"": 49, ""is_demo"": true}"
